Result,Elo,ECO,Opening
1-0,1639,C00,French Defence: Normal Variation
1-0,1654,D04,Queen's Pawn Game: Colle System; Anti-Colle
1-0,1643,C50,Four Knights Game: Italian Variation
0-1,1824,B12,Caro-Kann Defence: Goldman Variation
0-1,1765,C00,French Defence: La Bourdonnais Variation
1-0,1477,B00,Owen Defence
0-1,1541,C53,Italian Game: Classical Variation; Giuoco Pianissimo
1-0,1765,C20,English Opening: The Whale
1-0,1445,A43,Old Benoni Defence
0-1,1522,A40,Englund Gambit Complex: Hartlaub-Charlick Gambit
0-1,1644,B06,Modern Defence
0-1,1957,C13,French Defence: Classical Variation; Richter Attack
1-0,1656,C50,Giuoco Piano
1-0,1436,C60,Ruy Lopez: Cozio Defence
1/2-1/2,1878,B21,Sicilian Defence: McDonnell Attack
0-1,1742,A01,Nimzo-Larsen Attack: Modern Variation #2
1-0,1824,C02,French Defence: Advance Variation #2
1-0,1653,C00,French Defence: Normal Variation
1-0,1897,B01,Scandinavian Defence: Mieses-Kotroc Variation
1-0,1492,C24,Bishop's Opening: Berlin Defence
1-0,1500,C30,King's Gambit
1-0,1463,C44,Scotch Game: Benima Defence
1-0,1554,B01,Scandinavian Defence: Mieses-Kotroc Variation
1-0,1938,D20,Queen's Gambit Accepted: Saduleto Variation
1-0,1336,C40,King's Pawn Game: McConnell Defence
1-0,1793,A40,Horwitz Defence
0-1,1785,B06,Modern Defence
1-0,1981,A15,English Opening: Anglo-Indian Defence; King's Knight Variation
1-0,1711,C02,French Defence: Advance Variation #2
1-0,1421,B07,Pirc Defence #5
1-0,1849,A43,Old Benoni Defence
0-1,1440,C55,Italian Game: Two Knights Defence; Modern Bishop's Opening
1-0,1548,C21,Center Game #2
0-1,1561,B06,Robatsch (Modern) Defence
0-1,1489,C23,Bishop's Opening: Philidor Counterattack
1-0,1492,B50,Sicilian Defence
0-1,1347,B01,Scandinavian Defence
1-0,1162,A00,Van't Kruijs Opening
1-0,1627,A40,English Defence
0-1,1360,D04,Queen's Pawn Game: Colle System; Anti-Colle
0-1,1769,C52,Italian Game: Evans Gambit; Lasker Defence
1-0,1533,B10,Caro-Kann Defence
0-1,1744,C00,French Defence: Horwitz Attack
0-1,1720,B02,Alekhine Defence: John Tracy Gambit
0-1,1871,A00,Van Geet Opening
0-1,1500,A40,Mikenas Defence
