original_name, wikipedia_title
nchetto, Zukertort Opening
French Defence: Advance Variation #2, French Defence
French Defence: Normal Variation, French Defence
Alekhine Defence, Alekhine's Defence
King's Pawn Game, King's Pawn Game
Zukertort Opening: Queen's Gambit Invitation, Zukertort Opening
Italian Game: Anti-Fried Liver Defence, Italian Game
Mieses Opening, Mieses Opening
Vienna Game: Stanley Variation, Vienna Game
Hungarian Opening: Sicilian Invitation, King's Fianchetto Opening
French Defence: Advance Variation; Paulsen Attack, French Defence
Queen's Gambit declined: Marshall Defence, Queen's Gambit Declined
Four Knights Game: Scotch Variation Accepted, Four Knights Game
Queen's Pawn Game #2, Queen's Pawn Game
Zukertort Opening: Wade Defence, Zukertort Opening
Queen's Gambit declined: Austrian Defence, Queen's Gambit Declined
French Defence: Advance Variation #3, French Defence
French Defence: Knight Variation, French Defence
Bishop's Opening: Vienna Hybrid, Bishop's Opening
Indian Game, Indian Game
French Defence: Advance Variation; Nimzowitsch System, French Defence
Queen's Gambit declined: Austrian Defence, Queen's Gambit Declined
French Defence: Advance Variation #2, French Defence
French Defence: Exchange Variation, French Defence
Benoni Defence: Old Benoni, Benoni Defense
Slav Defence: Geller Gambit #2, Slav Defense
Vienna Game: Zhuravlev Countergambit #2, Vienna Game
Rat Defence: Antal Defence, Rat Defense, English Rat
Gedult's Opening, Barnes Opening
Scotch Game, Scotch Game
Queen's Gambit Accepted, Queen's Gambit Accepted
Queen's Pawn Game: Franco-Sicilian Defence, Queen's Pawn Game
Nimzowitsch Defence; Declined Variation, Nimzowitsch Defence
Barnes Defence, Burn
Four Knights Game: Italian Variation, Four Knights Game
Pirc Defence #4, Pirc Defence
French Defence #2, French Defence
Vienna Game, Vienna Game
Nimzowitsch Defence, Nimzowitsch Defence
Rat Defence: Small Center Defence, Rat Defense, English Rat
Italian Game: Giuoco Pianissimo, Italian Game
Four Knights Game: Italian Variation, Four Knights Game
Queen's Pawn, Queen's Pawn Game
French Defence: Normal Variation, French Defence
Philidor Defence #2, Philidor Defence
French Defence: Normal Variation, French Defence
Italian Game, Italian Game
French Defence: King's Indian Attack, French Defence
Englund Gambit Declined; Reversed French, Englund Gambit
Four Knights Game, Four Knights Game
French Defence: Tarrasch Variation, French Defence
Bishop's Opening: Boi Variation, Bishop's Opening
Elephant Gambit, Elephant Gambit
St. George Defence: New St. George; Traditional Line, St. George Defence
Queen's Gambit declined: Chigorin Defence; Janowski Variation, Queen's Gambit Declined
French Defence: Knight Variation, French Defence
Bishop's Opening: Vienna Hybrid; Spielmann Attack, Bishop's Opening
French Defence: Advance Variation #2, French Defence
Ruy Lopez: Steinitz Defence, Ruy Lopez
Queen's Pawn Game, Queen's Pawn Game
Bishop's Opening: Vienna Hybrid, Bishop's Opening
Benoni Defence: Benoni Gambit Accepted, Benoni Defense
Blackmar-Diemer Gambit: Gedult Gambit, Blackmar–Diemer Gambit
Old Indian Defence, Indian Defence
Benoni Defence: Benoni Gambit Accepted, Benoni Defense
Canard Opening, Canard (aeronautics)
Russian Game: Modern Attack; Center Variation, Petrov's Defence
King's Gambit Accepted; MacLeod Defence, King's Gambit
Zukertort Opening: Reversed Mexican Defence, Zukertort Opening
Zukertort Opening: Sicilian Invitation, Zukertort Opening
Hungarian Opening: Sicilian Invitation, King's Fianchetto Opening
Ruy Lopez: Cozio Defence, Ruy Lopez
French Defence: Winawer Variation; Fingerslip Variation, French Defence
French Defence: Knight Variation, French Defence
King's Gambit Declined; Queen's Knight Defence, Queen's Gambit Declined
Benoni Defence: Benoni Gambit Accepted, Benoni Defense
Zukertort Opening: Nimzo-Larsen Variation, Zukertort Opening
Center Game Accepted, Center Game
French Defence: Advance Variation; Nimzowitsch System, French Defence
Ruy Lopez: Berlin Defence #2, Ruy Lopez
Gruenfeld Defence: Russian Variation; Accelerated Variation, Grünfeld Defence
Slav Defence #2, Slav Defense
Benoni Defence: Old Benoni, Benoni Defense
